3,2,0,0,0
4,3,0,0,0
5,3,0,0,0
6,5,0,0,0
7,6,0,0,0
8,6,5,4,0
9,5,0,0,0
10,7,0,0,0
11,9,0,0,0
12,6,4,1,0
13,4,3,1,0
14,5,3,1,0
15,14,0,0,0
16,15,13,4,0
17,14,0,0,0
18,11,0,0,0
19,6,2,1,0
20,17,0,0,0
21,19,0,0,0
22,21,0,0,0
23,18,0,0,0
24,23,22,17,0
25,22,0,0,0
26,6,2,1,0
27,5,2,1,0
28,25,0,0,0
29,27,0,0,0
30,6,4,1,0
31,28,0,0,0
32,22,2,1,0
33,20,0,0,0
34,27,2,1,0
35,33,0,0,0
36,25,0,0,0
37,5,4,3,2
38,6,5,1,0
39,35,0,0,0
40,38,21,19,0
41,38,0,0,0
42,41,20,19,0
43,42,38,37,0
44,43,18,17,0
45,44,42,41,0
46,45,26,25,0
47,42,0,0,0
48,47,21,20,0
49,40,0,0,0
50,49,24,23,0
51,50,36,35,0
52,49,0,0,0
53,52,38,37,0
54,53,18,17,0
55,31,0,0,0
56,55,35,34,0
57,50,0,0,0
58,39,0,0,0
59,58,38,37,0
60,59,0,0,0
61,60,46,45,0
62,61,6,5,0
63,62,0,0,0
64,63,61,60,0
65,47,0,0,0
66,65,57,56,0
67,66,58,57,0
68,59,0,0,0
69,67,42,40,0
70,69,55,54,0
71,65,0,0,0
72,66,25,19,0
73,48,0,0,0
74,73,59,58,0
75,74,65,64,0
76,75,41,40,0
77,76,47,46,0
78,77,59,58,0
79,70,0,0,0
80,79,43,42,0
81,77,0,0,0
82,79,47,44,0
83,82,38,37,0
84,71,0,0,0
85,84,58,57,0
86,85,74,73,0
87,74,0,0,0
88,87,17,16,0
89,51,0,0,0
90,89,72,71,0
91,90,8,7,0
92,91,80,79,0
93,91,0,0,0
94,73,0,0,0
95,84,0,0,0
96,94,49,47,0
97,91,0,0,0
98,87,0,0,0
99,97,54,52,0
100,63,0,0,0
101,100,95,94,0
102,101,36,35,0
103,94,0,0,0
104,103,94,93,0
105,89,0,0,0
106,91,0,0,0
107,105,44,42,0
108,77,0,0,0
109,108,103,102,0
110,109,98,97,0
111,101,0,0,0
112,110,69,67,0
113,104,0,0,0
114,113,33,32,0
115,114,101,100,0
116,115,46,45,0
117,115,99,97,0
118,85,0,0,0
119,111,0,0,0
120,113,9,2,0
121,103,0,0,0
122,121,63,62,0
123,121,0,0,0
124,87,0,0,0
125,124,18,17,0
126,125,90,89,0
127,126,0,0,0
128,126,101,99,0
129,124,0,0,0
130,127,0,0,0
131,130,84,83,0
132,103,0,0,0
133,132,82,81,0
134,77,0,0,0
135,124,0,0,0
136,135,11,10,0
137,116,0,0,0
138,137,131,130,0
139,136,134,131,0
140,111,0,0,0
141,140,110,109,0
142,121,0,0,0
143,142,123,122,0
144,143,75,74,0
145,93,0,0,0
146,145,87,86,0
147,146,110,109,0
148,121,0,0,0
149,148,40,39,0
150,97,0,0,0
151,148,0,0,0
152,151,87,86,0
153,152,0,0,0
154,152,27,25,0
155,154,124,123,0
156,155,41,40,0
157,156,131,130,0
158,157,132,131,0
159,128,0,0,0
160,159,142,141,0
161,143,0,0,0
162,161,75,74,0
163,162,104,103,0
164,163,151,150,0
165,164,135,134,0
166,165,128,127,0
167,161,0,0,0
168,166,153,151,0
